,AGED_logFC,AGED_FDR_p,APP_logFC,APP_FDR_p,ERCC1_logFC,ERCC1_FDR_p,SOD1_logFC,SOD1_FDR_p,LPS_LogFC,LPS_FDR_P
GPR65,0.742307052,7.71E-05,1.677717816,9.18E-07,1.580332081,7.22E-06,1.81505685,0.012683747,2.022929066,2.19E-10
ARHGAP26,0.170288508,0.0632705,0.110361398,0.81389857,-0.09891509,0.660447755,1.607476786,0.012685867,-0.014317216,0.9410677
UHRF1,0.658140235,0.002647961,0.357428306,0.374471303,0.634132298,5.97E-05,2.339252302,0.012939581,0.420775876,0.082224352
H2-AA,1.958069638,3.95E-10,1.139198181,0.058922922,0.970109359,0.001606029,4.618123431,0.013127254,0.100415998,0.566819643
OLFR1166,0.034906405,0.877222663,-0.078638916,0.645545164,0.076137151,0.586258446,6.750642242,0.01319123,-0.092681699,0.631547949
GAPDH,0.362967445,0.021087514,0.760612712,7.69E-07,0.372222229,2.48E-05,1.670993023,0.013292734,0.067460615,0.676438902
TREML2,-0.167155071,0.325558684,0.69530133,6.60E-05,0.068664851,0.820583804,1.880108005,0.013474275,0.327162666,0.075189165
ANXA4,0.51008046,0.000317548,0.77962002,2.78E-07,0.270749357,0.081637953,2.036534802,0.013646337,-0.011683573,0.957338536
ENG,-0.154941598,0.148457508,-0.681584432,2.35E-05,0.00731594,0.936832577,-2.078863763,0.013647708,0.029921647,0.679495992
WBP5,0.097161923,0.557711204,0.632740506,0.000130945,0.301495776,0.054503766,1.85500861,0.013873515,-0.180974715,0.422654243
WEE1,0.113412713,0.128026949,-0.046246634,0.724609717,0.048220732,0.493642925,2.925253919,0.013873515,0.009104029,0.911024163
ZBP1,0.129133907,0.258407899,1.007767147,0.000336231,1.902577977,6.45E-12,2.725541916,0.013873515,0.884250368,0.001771385
ZHX2,0.060252138,0.744590805,0.037041712,0.702551026,0.020286718,0.866684715,2.499862052,0.01398705,0.092013852,0.250841722
CPEB1,0.617336227,0.00041941,1.637518068,2.79E-07,-0.004664721,0.98322188,2.142572584,0.013994119,-0.159597371,0.12157236
